,dex_id,name,spe,spd,spa,dfn,atk,hp,type_1,type_2,move_list,gen,smogon_format,is_final_evo,abilities,moveset,ideal_ability,ideal_item,ideal_nature,total_stats,is_BL,tier,dam_moves,cover_bug,cover_dark,cover_dragon,cover_electric,cover_fairy,cover_fighting,cover_fire,cover_flying,cover_ghost,cover_grass,cover_ground,cover_ice,cover_normal,cover_poison,cover_psychic,cover_rock,cover_steel,cover_water,cover_total,types,is_bug,is_dark,is_dragon,is_electric,is_fairy,is_fighting,is_fire,is_flying,is_ghost,is_grass,is_ground,is_ice,is_normal,is_poison,is_psychic,is_rock,is_steel,is_water,move_count,special_move_count,physical_move_count,status_move_count,special_moveset,physical_moveset,status_moveset,set_cover_bug,set_cover_dark,set_cover_dragon,set_cover_electric,set_cover_fairy,set_cover_fighting,set_cover_fire,set_cover_flying,set_cover_ghost,set_cover_grass,set_cover_ground,set_cover_ice,set_cover_normal,set_cover_poison,set_cover_psychic,set_cover_rock,set_cover_steel,set_cover_water
0,1.0,bulbasaur,45.0,65.0,65.0,49.0,49.0,45.0,poison,grass,"['razor-wind', 'swords-dance', 'cut', 'bind', 'vine-whip', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'strength', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'sleep-powder', 'petal-dance', 'string-shot', 'toxic', 'rage', 'mimic', 'double-team', 'defense-curl', 'light-screen', 'reflect', 'bide', 'sludge', 'skull-bash', 'amnesia', 'flash', 'rest', 'substitute', 'snore', 'curse', 'protect', 'sludge-bomb', 'mud-slap', 'giga-drain', 'endure', 'charm', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'sweet-scent', 'synthesis', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'nature-power', 'ingrain', 'knock-off', 'secret-power', 'grass-whistle', 'bullet-seed', 'magical-leaf', 'natural-gift', 'worry-seed', 'seed-bomb', 'energy-ball', 'leaf-storm', 'power-whip', 'captivate', 'grass-knot', 'venoshock', 'round', 'echoed-voice', 'grass-pledge', 'work-up', 'grassy-terrain', 'confide']",1.0,lc,False,"['chlorophyll', 'overgrow']","['celebrate', 'sludge-bomb', 'giga-drain', 'hidden-power-fire', 'sleep-powder']",['chlorophyll'],['normalium-z'],['modest'],318.0,False,lc,"['poison', 'grass']",True,True,False,False,False,True,False,False,False,True,True,False,True,True,False,False,False,False,7,"['poison', 'grass']",False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,78,18,24,36,2,0,2,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1,2.0,ivysaur,60.0,80.0,80.0,63.0,62.0,60.0,poison,grass,"['swords-dance', 'cut', 'bind', 'vine-whip', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'strength', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'sleep-powder', 'string-shot', 'toxic', 'rage', 'mimic', 'double-team', 'defense-curl', 'light-screen', 'reflect', 'bide', 'flash', 'rest', 'substitute', 'snore', 'curse', 'protect', 'sludge-bomb', 'mud-slap', 'giga-drain', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'sweet-scent', 'synthesis', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'nature-power', 'knock-off', 'secret-power', 'bullet-seed', 'natural-gift', 'worry-seed', 'seed-bomb', 'energy-ball', 'captivate', 'grass-knot', 'venoshock', 'round', 'echoed-voice', 'grass-pledge', 'work-up', 'confide']",1.0,limbo,False,"['chlorophyll', 'overgrow']",,,,,405.0,False,limbo,[],True,True,False,False,False,True,False,False,False,True,True,False,True,True,False,False,False,False,7,"['poison', 'grass']",False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,66,13,22,31,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,3.0,venusaur,80.0,100.0,100.0,83.0,82.0,80.0,poison,grass,"['swords-dance', 'cut', 'bind', 'vine-whip', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'roar', 'hyper-beam', 'strength', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'sleep-powder', 'petal-dance', 'string-shot', 'earthquake', 'toxic', 'rage', 'mimic', 'double-team', 'defense-curl', 'light-screen', 'reflect', 'bide', 'flash', 'rest', 'substitute', 'snore', 'curse', 'protect', 'sludge-bomb', 'mud-slap', 'outrage', 'giga-drain', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'sweet-scent', 'synthesis', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'nature-power', 'knock-off', 'secret-power', 'bullet-seed', 'block', 'frenzy-plant', 'natural-gift', 'worry-seed', 'seed-bomb', 'energy-ball', 'giga-impact', 'rock-climb', 'captivate', 'grass-knot', 'venoshock', 'round', 'echoed-voice', 'grass-pledge', 'bulldoze', 'work-up', 'petal-blizzard', 'confide']",1.0,ru,True,"['chlorophyll', 'overgrow']","['growth', 'sludge-bomb', 'giga-drain', 'hidden-power-fire']",['chlorophyll'],"['life-orb', 'grassium-z']",['modest'],525.0,False,ru,"['poison', 'grass']",True,True,True,False,False,True,False,False,False,True,True,False,True,True,False,False,False,False,8,"['poison', 'grass']",False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,77,16,28,33,2,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
3,4.0,charmander,65.0,50.0,60.0,43.0,52.0,39.0,fire,,"['mega-punch', 'fire-punch', 'thunder-punch', 'scratch', 'swords-dance', 'cut', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'leer', 'bite', 'growl', 'ember', 'flamethrower', 'submission', 'counter', 'seismic-toss', 'strength', 'dragon-rage', 'fire-spin', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'smokescreen', 'defense-curl', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'curse', 'protect', 'scary-face', 'belly-drum', 'mud-slap', 'outrage', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'dragon-breath', 'iron-tail', 'metal-claw', 'hidden-power', 'sunny-day', 'crunch', 'ancient-power', 'rock-smash', 'beat-up', 'heat-wave', 'will-o-wisp', 'facade', 'focus-punch', 'brick-break', 'secret-power', 'air-cutter', 'overheat', 'rock-tomb', 'aerial-ace', 'dragon-claw', 'dragon-dance', 'natural-gift', 'fling', 'flare-blitz', 'dragon-pulse', 'dragon-rush', 'shadow-claw', 'fire-fang', 'captivate', 'hone-claws', 'flame-burst', 'flame-charge', 'round', 'echoed-voice', 'incinerate', 'inferno', 'fire-pledge', 'work-up', 'confide', 'power-up-punch']",1.0,lc,False,"['blaze', 'solar-power']","['dragon-dance', 'flare-blitz', 'hidden-power-grass', 'brick-break', 'thunder-punch']",['blaze'],['life-orb'],['adamant'],309.0,False,lc,"['fire', 'fighting', 'electric']",True,True,True,True,False,True,True,True,True,False,True,False,True,False,False,True,True,False,12,['fire'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,93,21,46,26,0,3,1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
4,5.0,charmeleon,80.0,65.0,80.0,58.0,64.0,58.0,fire,,"['mega-punch', 'fire-punch', 'thunder-punch', 'scratch', 'swords-dance', 'cut', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'leer', 'growl', 'ember', 'flamethrower', 'submission', 'counter', 'seismic-toss', 'strength', 'dragon-rage', 'fire-spin', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'smokescreen', 'defense-curl', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'curse', 'protect', 'scary-face', 'mud-slap', 'outrage', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'dragon-breath', 'iron-tail', 'metal-claw', 'hidden-power', 'sunny-day', 'rock-smash', 'heat-wave', 'will-o-wisp', 'facade', 'focus-punch', 'brick-break', 'secret-power', 'overheat', 'rock-tomb', 'aerial-ace', 'dragon-claw', 'natural-gift', 'fling', 'dragon-pulse', 'shadow-claw', 'fire-fang', 'captivate', 'hone-claws', 'flame-burst', 'flame-charge', 'round', 'echoed-voice', 'incinerate', 'inferno', 'fire-pledge', 'work-up', 'confide', 'power-up-punch']",1.0,limbo,False,"['blaze', 'solar-power']",,,,,405.0,False,limbo,[],True,True,True,True,False,True,True,True,True,False,True,False,True,False,False,True,True,False,12,['fire'],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,84,19,41,24,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,6.0,charizard,100.0,85.0,109.0,78.0,84.0,78.0,flying,fire,"['mega-punch', 'fire-punch', 'thunder-punch', 'scratch', 'swords-dance', 'cut', 'wing-attack', 'fly', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'leer', 'growl', 'roar', 'ember', 'flamethrower', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'dragon-rage', 'fire-spin', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'smokescreen', 'defense-curl', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'curse', 'protect', 'scary-face', 'mud-slap', 'outrage', 'sandstorm', 'endure', 'swagger', 'fury-cutter', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'dragon-breath', 'iron-tail', 'metal-claw', 'hidden-power', 'twister', 'sunny-day', 'rock-smash', 'heat-wave', 'will-o-wisp', 'facade', 'focus-punch', 'brick-break', 'secret-power', 'blast-burn', 'air-cutter', 'overheat', 'rock-tomb', 'aerial-ace', 'dragon-claw', 'roost', 'natural-gift', 'tailwind', 'fling', 'flare-blitz', 'air-slash', 'dragon-pulse', 'focus-blast', 'giga-impact', 'shadow-claw', 'fire-fang', 'defog', 'captivate', 'ominous-wind', 'hone-claws', 'flame-burst', 'flame-charge', 'round', 'echoed-voice', 'sky-drop', 'incinerate', 'inferno', 'fire-pledge', 'bulldoze', 'dragon-tail', 'work-up', 'confide', 'power-up-punch', 'brutal-swing']",1.0,publ,True,"['blaze', 'solar-power']","['dragon-dance', 'flare-blitz', 'earthquake', 'dragon-claw', 'roost']",['blaze'],['charizardite-x'],['jolly'],534.0,True,pu,"['fire', 'ground', 'dragon']",True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,True,True,False,13,"['flying', 'fire']",False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,108,27,52,29,0,3,2,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
6,7.0,squirtle,43.0,64.0,50.0,65.0,48.0,44.0,water,,"['mega-punch', 'ice-punch', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'mist', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'dig', 'toxic', 'confusion', 'rage', 'mimic', 'double-team', 'withdraw', 'defense-curl', 'haze', 'reflect', 'bide', 'waterfall', 'skull-bash', 'bubble', 'rest', 'substitute', 'snore', 'curse', 'flail', 'protect', 'mud-slap', 'foresight', 'icy-wind', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'rapid-spin', 'iron-tail', 'hidden-power', 'rain-dance', 'mirror-coat', 'rock-smash', 'whirlpool', 'fake-out', 'hail', 'facade', 'focus-punch', 'brick-break', 'yawn', 'refresh', 'secret-power', 'dive', 'mud-sport', 'rock-tomb', 'water-spout', 'muddy-water', 'iron-defense', 'water-pulse', 'gyro-ball', 'brine', 'natural-gift', 'fling', 'aqua-ring', 'aura-sphere', 'aqua-tail', 'dragon-pulse', 'zen-headbutt', 'captivate', 'aqua-jet', 'round', 'scald', 'water-pledge', 'work-up', 'confide', 'power-up-punch']",1.0,lc,False,"['rain-dish', 'torrent']","['rapid-spin', 'fake-out', 'waterfall', 'aqua-jet', 'ice-punch', 'yawn']",['torrent'],['eviolite'],['impish'],314.0,False,lc,"['normal', 'normal', 'water', 'water', 'ice']",False,True,True,False,False,True,False,False,False,False,True,True,True,False,True,True,True,True,10,['water'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,91,23,40,28,0,5,1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
7,8.0,wartortle,58.0,80.0,65.0,80.0,63.0,59.0,water,,"['mega-punch', 'ice-punch', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'withdraw', 'defense-curl', 'reflect', 'bide', 'waterfall', 'skull-bash', 'bubble', 'rest', 'substitute', 'snore', 'curse', 'protect', 'mud-slap', 'icy-wind', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'rapid-spin', 'iron-tail', 'hidden-power', 'rain-dance', 'rock-smash', 'whirlpool', 'hail', 'facade', 'focus-punch', 'brick-break', 'secret-power', 'dive', 'rock-tomb', 'iron-defense', 'water-pulse', 'gyro-ball', 'brine', 'natural-gift', 'fling', 'aqua-tail', 'dragon-pulse', 'zen-headbutt', 'captivate', 'round', 'scald', 'water-pledge', 'work-up', 'confide', 'power-up-punch']",1.0,limbo,False,"['rain-dish', 'torrent']",,,,,405.0,False,limbo,[],False,True,True,False,False,True,False,False,False,False,True,True,True,False,True,True,True,True,10,['water'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,76,18,37,21,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,9.0,blastoise,78.0,105.0,85.0,100.0,83.0,79.0,water,,"['mega-punch', 'ice-punch', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'roar', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'withdraw', 'defense-curl', 'reflect', 'bide', 'waterfall', 'skull-bash', 'bubble', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'protect', 'mud-slap', 'icy-wind', 'outrage', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'rapid-spin', 'iron-tail', 'hidden-power', 'rain-dance', 'rock-smash', 'whirlpool', 'hail', 'facade', 'focus-punch', 'brick-break', 'secret-power', 'dive', 'hydro-cannon', 'rock-tomb', 'signal-beam', 'iron-defense', 'water-pulse', 'gyro-ball', 'brine', 'natural-gift', 'fling', 'dark-pulse', 'aqua-tail', 'dragon-pulse', 'focus-blast', 'giga-impact', 'avalanche', 'zen-headbutt', 'flash-cannon', 'rock-climb', 'captivate', 'smack-down', 'round', 'scald', 'water-pledge', 'bulldoze', 'dragon-tail', 'work-up', 'confide', 'power-up-punch']",1.0,nu,True,"['rain-dish', 'torrent']","['rapid-spin', 'dark-pulse', 'aura-sphere', 'ice-beam']",['rain-dish'],['blastoisinite'],['timid'],530.0,False,nu,"['normal', 'dark', 'fighting', 'ice']",True,True,True,False,False,True,False,False,False,False,True,True,True,False,True,True,True,True,11,['water'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,93,24,47,22,3,1,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
9,10.0,caterpie,45.0,20.0,20.0,35.0,30.0,45.0,bug,,"['tackle', 'string-shot', 'snore', 'bug-bite', 'electroweb']",1.0,lc,False,"['run-away', 'shield-dust']",,,,,195.0,False,lc,[],True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3,['bug'],True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,2,2,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
